type_id,type,product_id,product_name,product_finalprice,product_price,rating_html,soon_release,product_url,image_src,discount,discount_label_html,episode,series_id,subscribes
simple,simple,430959,Destination C1 And C2 - Grammar And Vocabulary with Answer Key,132.300,189.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",0,https://www.fahasa.com/destination-c1-c2-grammar-vocabulary-with-answer-key.html,https://cdn0.fahasa.com/media/catalog/product/8/9/8935246937143.jpg,30.0,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">30%</span></div>",,,
simple,simple,182109,Tự Học 2000 Từ Vựng Tiếng Anh Theo Chủ Đề (Tái Bản),45.500,65.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:87%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star active'></div><div class='rating-links'>4.4</div></div>",0,https://www.fahasa.com/tu-hoc-2000-tu-vung-tieng-anh-theo-chu-de-182109.html,https://cdn0.fahasa.com/media/catalog/product/2/4/24df17f9bab58ba053c6c08c3af2f470.jpg,30.0,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">30%</span></div>",,,
bundle,bundle,424210,Combo Sách Giáo Trình Chuẩn HSK 4 Tập 1 - Sách Bài Học Và Bài Tập (Bộ 2 Cuốn),276.360,376.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",0,https://www.fahasa.com/combo-sach-giao-trinh-chuan-hsk-4-tap-1-sach-bai-hoc-va-bai-tap-bo-2-cuon.html,https://cdn0.fahasa.com/media/catalog/product/c/o/combo-9786043127287-9786045897430.jpg,26.0,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">26%</span></div>",Tập 1,,
simple,simple,407511,Giáo Trình Chuẩn HSK 5 - Tập 1,208.500,278.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",0,https://www.fahasa.com/giao-trinh-chuan-hsk-5-1-bai-hoc.html,https://cdn0.fahasa.com/media/catalog/product/9/7/9786043358568_1.jpg,25.0,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">25%</span></div>",Tập 1,,
simple,simple,354989,4000 Từ Vựng Và Mẫu Câu Tiếng Anh Thiết Yếu Cho Trẻ Em,187.500,250.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",0,https://www.fahasa.com/4000-tu-vung-va-mau-cau-tieng-anh-thiet-yeu-cho-tre-em.html,https://cdn0.fahasa.com/media/catalog/product/i/m/image_228553.jpg,25.0,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">25%</span></div>",,,
simple,simple,366682,Giáo Trình Chuẩn HSK 4 - Tập 2 - Sách Bài Tập,118.500,158.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",0,https://www.fahasa.com/giao-trinh-chuan-hsk-4-2-sach-bai-tap.html,https://cdn0.fahasa.com/media/catalog/product/i/m/image_236052.jpg,25.0,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">25%</span></div>",Tập 2,,
bundle,bundle,574596,Giải Thích Ngữ Pháp Tiếng Anh (Tái Bản 2024) - Tặng Kèm Sách Động Từ Bất Quy Tắc Và Ngữ Pháp Tiếng Anh,143.000,220.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:100%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star active'></div><div class='rating-links'>5.0</div></div>",0,https://www.fahasa.com/giai-thich-ngu-phap-tieng-anh-tai-ban-2024-tang-kem-sach-dong-tu-bat-quy-tac-va-ngu-phap-tieng-anh.html,https://cdn0.fahasa.com/media/catalog/product/a/n/anhdaidienspkemqua_t07_800x800.jpg,35.0,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">35%</span></div>",,,
simple,simple,399890,Giáo Trình Chuẩn YCT 2,111.000,148.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",0,https://www.fahasa.com/giao-trinh-chuan-yct-2.html,https://cdn0.fahasa.com/media/catalog/product/9/7/9786043770384.jpg,25.0,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">25%</span></div>",Tập 2,,
simple,simple,279977,Giúp Trí Nhớ Ngữ Pháp Tiếng Anh Và Động Từ Bất Quy Tắc,5.740,7.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",0,https://www.fahasa.com/giup-tri-nho-ngu-phap-tieng-anh-va-dong-tu-bat-quy-tac.html,https://cdn0.fahasa.com/media/catalog/product/i/m/image_195509_1_32135.jpg,18.0,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">18%</span></div>",,,
simple,simple,329608,Giáo Trình Chuẩn HSK 5 - Tập 2,201.000,268.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",,https://www.fahasa.com/giao-trinh-chuan-hsk-5-2.html,https://cdn0.fahasa.com/media/catalog/product/i/m/image_214852.jpg,25.0,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">25%</span></div>",Tập 2,,
